fraction,x,y
0.92585034,44855,-29.2
0.926530612,45055,-29.82
0.927210884,45255,-30.17
0.927891156,45455,-29.76
0.928571429,45655,-29.53
0.929251701,45855,-29.53
0.929931973,46055,-29.35
0.930612245,46255,-29.23
0.931292517,46455,-29.23
0.931972789,46655,-29.13
0.932653061,46855,-28.52
0.933333333,47055,-28.4
0.934013605,47255,-28.89
0.934693878,47455,-28.13
0.93537415,47655,-28.13
0.936054422,47855,-27.5
0.936734694,48055,-27.76
0.937414966,48255,-28.31
0.938095238,48455,-28.36
0.93877551,48655,-27.77
0.939455782,48855,-27.22
0.940136054,49055,-27.22
0.940816327,49255,-26.08
0.941496599,49455,-25.55
0.942176871,49655,-25.38
0.942857143,49855,-25.38
0.943537415,50055,-25.38
0.944217687,50255,-25.32
0.944897959,50455,-24.82
0.945578231,50655,-25
0.946258503,50855,-25.39
0.946938776,51055,-25.09
0.947619048,51255,-25.09
0.94829932,51455,-25.06
0.948979592,51655,-24.7
0.949659864,51855,-24.18
0.950340136,52055,-23.82
0.951020408,52255,-23.82
0.95170068,52455,-23.9
0.952380952,52655,-23.71
0.953061224,52855,-23.42
0.953741497,53055,-23.26
0.954421769,53255,-23
0.955102041,53455,-23
0.955782313,53655,-22.57
0.956462585,53855,-22.1
0.957142857,54055,-22.15
0.957823129,54255,-22.05
0.958503401,54455,-22.05
0.959183673,54655,-21.67
0.959863946,54855,-21.44
0.960544218,55055,-21.83
0.96122449,55255,-21.59
0.961904762,55455,-21.39
0.962585034,55655,-21.39
0.963265306,55855,-21.07
0.963945578,56055,-21.15
0.96462585,56255,-20.52
0.965306122,56455,-19.95
0.965986395,56655,-19.95
0.966666667,56855,-19.91
0.967346939,57055,-19.98
0.968027211,57255,-19.76
0.968707483,57455,-19.87
0.969387755,57655,-19.38
0.970068027,57855,-19.38
0.970748299,58055,-19.02
0.971428571,58255,-18.3
0.972108844,58455,-18.44
0.972789116,58655,-19.25
0.973469388,58855,-19.37
0.97414966,59055,-18.15
0.974829932,59255,-19.31
0.975510204,59455,-18.81
0.976190476,59655,-18.81
0.976870748,59855,-18.97
0.97755102,60055,-18.97
0.978231293,60255,-18.57
0.978911565,60455,-18.25
0.979591837,60655,-17.78
0.980272109,60855,-16.93
0.980952381,61055,-16.93
0.981632653,61255,-15.74
0.982312925,61455,-15.11
0.982993197,61655,-15.52
0.983673469,61855,-15.69
0.984353741,62055,-14.72
0.985034014,62255,-13.6
0.985714286,62455,-13.28
0.986394558,62655,-13.28
0.98707483,62855,-9.94
0.987755102,63055,-9.94
0.988435374,63255,-8.88
0.989115646,63455,-8.97
0.989795918,63655,-11.41
0.99047619,63855,-11.49
0.991156463,64055,-11.43
0.991836735,64255,-11.16
0.992517007,64455,-10.73
0.993197279,64655,-10.23
0.993877551,64855,-9.68
0.994557823,65055,-8.22
0.995238095,65255,-5.93
0.995918367,65455,-2.82
0.996598639,65655,-1.793
0.997278912,65855,2.8
0.997959184,65939,4.713
0.998639456,65939,23.262
0.999319728,66239,28.262
1,66279,28.262
